ene,k
106.533,862121253.
106.562,865113912.
106.59,868122049.
106.619,871133188.
106.648,874142948.
106.676,877149289.
106.705,880159586.
106.733,883183539.
106.762,886238506.
106.791,889310531.
106.819,892371384.
106.848,895421073.
106.876,898476973.
106.905,901555260.
106.934,904660320.
106.962,907783197.
106.991,910896440.
107.019,913999493.
107.048,917108244.
107.076,920234921.
107.105,923376022.
107.134,926533902.
107.162,929705258.
107.191,932880301.
107.219,936053372.
107.248,939221848.
107.277,942399843.
107.305,945596750.
107.334,948820677.
107.362,952057587.
107.391,955279849.
107.42,958495208.
107.448,961721918.
107.477,964975208.
107.505,968255560.
107.534,971539165.
107.563,974819322.
107.591,978089774.
107.62,981370108.
107.648,984667047.
107.677,987983341.
107.706,991313600.
107.734,994654000.
107.763,998000516.
107.791,1001340913.
107.82,1004678987.
107.848,1008029406.
107.877,1011408310.
107.906,1014808834.
107.934,1018212053.
107.963,1021604427.
107.991,1024993177.
108.02,1028396228.
108.049,1031831757.
108.077,1035289175.
108.106,1038743118.
108.134,1042190678.
108.163,1045641039.
108.192,1049097742.
108.22,1052573481.
108.249,1056068394.
108.277,1059579395.
108.306,1063095305.
108.335,1066614989.
108.363,1070132218.
108.392,1073647077.
108.42,1077181126.
108.449,1080744998.
108.477,1084326931.
108.506,1087901354.
108.535,1091471119.
108.563,1095040357.
108.592,1098628527.
108.62,1102250685.
108.649,1105888802.
108.678,1109519543.
108.706,1113143864.
108.735,1116776588.
108.763,1120421002.
108.792,1124078926.
108.821,1127762127.
108.849,1131456727.
108.878,1135155350.
108.906,1138854886.
108.935,1142555685.
108.964,1146256895.
108.992,1149978933.
109.021,1153735642.
109.049,1157499329.
109.078,1161255449.
109.107,1165006549.
109.135,1168767561.
109.164,1172547833.
109.192,1176360343.
109.221,1180184069.
109.249,1183999524.
109.278,1187808438.
